,PC1,PC2
Self-esteem from posts,0.015160821322096339,0.6312194921020352
Social comparison,0.20989092244458296,0.4394634330511096
Media helps relax,0.035831426394190874,0.3620201635789767
Difficulty concentrating,0.3905661054199888,0.07064759461156173
Overthinking offline,0.36816253897578693,-0.05549528087965633
Emotional drain,0.3630708035730891,-0.001367663758321258
FOMO management,0.07164237249037622,-0.4872005336461567
Sleep disruption,0.37418099172239366,-0.12377115711635661
Information overload,0.37799523483101866,0.014817032049256974
Satisfied with usage,-0.2737136846741245,0.12494401842385411
Overall wellbeing impact,0.41422516824097944,-0.028077644799643885
